Species,Rank,Factor Score,Recruitment Variation,Mean Catch Age,Mean Maximum Age,Recruitment Adjustment,Importance Adjustment,Ecosystem Adjustment,Total Adjustment,Adjusted Maximum Age,Target Assessment Frequency,Last Assessment Year,Years Since Assessment,Years Past Target Frequency,Ten Years or Greater,Less Than 6 Years Update,Management Group
Greenspotted rockfish,7,6.4,0.7,19.2,83,0,0,0.2,0.2,99.6,10,2011,14,4,3,0,minor shelf rockfish
Greenstriped rockfish,1,10,0.84,16.8,68,0,0,0,0,68,8,2009,16,8,3,0,minor shelf rockfish
Honeycomb rockfish,13,3.6,NA,NA,31,0,0.2,0.2,0.4,43.4,8,NA,NA,4,NA,0,minor shelf rockfish
Kelp greenling,3,8.2,0.65,4.2,15,0,-0.2,0,-0.2,12,4,2015,10,6,3,0,other groundfish
Kelp rockfish,13,3.6,NA,NA,20,0,0.2,0.2,0.4,28,6,NA,NA,4,NA,0,minor nearshore rockfish
Leopard shark,13,3.6,NA,NA,30,0,0.2,-0.2,0,30,6,NA,NA,4,NA,0,other groundfish
Lingcod,53,0,0.6,5.3,22.5,0,-0.2,-0.2,-0.4,13.5,4,2021,4,0,0,0,species specific
Longnose skate,42,2.7,0,10.1,25,0.2,-0.2,-0.2,-0.2,20,4,2019,6,2,0,1,species specific
Longspine thornyhead,7,6.4,0.6,15.3,49,0,0,-0.2,-0.2,39.2,8,2013,12,4,3,0,species specific
Olive rockfish,13,3.6,NA,NA,30,0,0,0,0,30,6,NA,NA,4,NA,0,minor nearshore rockfish
Pacific cod,13,3.6,NA,NA,25,0,-0.2,-0.2,-0.4,15,4,NA,NA,4,NA,0,species specific
Pacific ocean perch,53,0,0.7,15.5,100,0,0,-0.2,-0.2,80,8,2017,8,0,0,0,species specific
Pacific sanddab,13,3.6,NA,NA,9,0,0,0,0,9,4,NA,NA,4,NA,0,other flatfish
Pacific spiny dogfish,53,0,0,22.4,83,0.2,0.2,-0.2,0.2,99.6,10,2021,4,0,0,0,species specific
Petrale sole,47,0.9,0.5,7.7,38,0,-0.2,-0.2,-0.4,22.8,6,2023,2,0,0,1,species specific
Quillback rockfish,53,0,0.4,13,95,0,-0.2,0.2,0,95,10,2021,4,0,0,0,minor nearshore rockfish
Redbanded rockfish,13,3.6,NA,NA,106,0,0,0.2,0.2,127.2,10,NA,NA,4,NA,0,minor slope rockfish
Redstripe rockfish,13,3.6,NA,NA,55,0,0.2,0,0.2,66,8,NA,NA,4,NA,0,minor shelf rockfish
Rex sole,53,0,0.5,8.6,29,0,0,0,0,29,6,2023,2,0,0,0,other flatfish
Rock sole,13,3.6,NA,NA,26,0,0.2,0.2,0.4,36.4,6,NA,NA,4,NA,0,other flatfish
Rosethorn rockfish,13,3.6,NA,NA,87,0,0.2,0.2,0.4,121.8,10,NA,NA,4,NA,0,minor shelf rockfish
Rosy rockfish,13,3.6,NA,NA,30,0,0.2,0.2,0.4,42,8,NA,NA,4,NA,0,minor shelf rockfish
Rougheye/Blackspotted rockfish,9,4.5,0.4,32.5,129,0,-0.2,0.2,0,129,10,2013,12,2,3,0,minor slope rockfish
Sablefish,53,0,1.4,9.4,76,-0.2,-0.2,-0.2,-0.6,30.4,6,2023,2,0,0,0,species specific
Sand sole,13,3.6,NA,NA,17,0,0,0,0,17,4,NA,NA,4,NA,0,other flatfish
Sharpchin rockfish,9,4.5,0.8,13.3,68,0,0.2,0,0.2,81.6,10,2013,12,2,3,0,minor slope rockfish
Shortraker rockfish,13,3.6,NA,NA,157,0,0,0.2,0.2,188.4,10,NA,NA,4,NA,0,minor slope rockfish
Shortspine thornyhead,47,0.9,0.5,24.7,135,0,-0.2,-0.2,-0.4,81,8,2023,2,0,0,1,species specific
Silvergray rockfish,13,3.6,NA,NA,82,0,0,0,0,82,10,NA,NA,4,NA,0,minor shelf rockfish
Speckled rockfish,13,3.6,NA,NA,37,0,0.2,0.2,0.4,51.8,8,NA,NA,4,NA,0,minor shelf rockfish
Splitnose rockfish,3,8.2,1,15.9,112,-0.2,0.2,-0.2,-0.2,89.6,10,2009,16,6,3,0,minor slope rockfish
Squarespot rockfish,53,0,0,11.6,41,0.2,0.2,0.2,0.6,65.6,8,2021,4,0,0,0,minor shelf rockfish
Starry flounder,13,3.6,NA,NA,42,0,0.2,0.2,0.4,58.8,8,NA,NA,4,NA,0,species specific
Starry rockfish,13,3.6,NA,NA,32,0,0,0,0,32,6,NA,NA,4,NA,0,minor shelf rockfish
Stripetail rockfish,13,3.6,NA,NA,38,0,0.2,0,0.2,45.6,8,NA,NA,4,NA,0,minor shelf rockfish
Treefish,13,3.6,NA,NA,25,0,0.2,0.2,0.4,35,6,NA,NA,4,NA,0,minor nearshore rockfish
Vermilion/Sunset rockfish,53,0,0.55,7.4,59,0,-0.2,0,-0.2,47.2,8,2021,4,0,0,0,minor shelf rockfish
Widow rockfish,44,1.8,0.6,10,37,0,-0.2,-0.2,-0.4,22.2,4,2019,6,2,0,0,species specific
Yelloweye rockfish,53,0,0.5,19.8,123,0,-0.2,0,-0.2,98.4,10,2017,8,0,0,0,species specific
Yellowmouth rockfish,13,3.6,NA,NA,99,0,0.2,0.2,0.4,138.6,10,NA,NA,4,NA,0,minor slope rockfish
Yellowtail rockfish,13,3.6,0.4997,12.3,31,0,-0.2,-0.2,-0.4,18.6,4,2017,8,4,0,0,species specific
